business_age,education_years,age,female,nature_value,tourism_value,value_ha_cattle,value_ha_timber,d_compost,tourism_incomes,agro_incomes,otherjobs_incomes,pensions_incomes,leases_incomes,dividens_incomes,charity_incomes,other_incomes,food_expend,clean_expend,transport_expend,rent_expend,services_expend,recreation_expend,durables_expend,remittances_expend,health_expend,education_expend,taxes_expend,other_expend
4.4166665,2,56,1,5,5,.1,5.5,1,.1,.1,.050000001,0,0,0,0,0,.60000002,.050000001,.02,0,.02,.029999999,.066,0,0,.55500001,0,0
.83333331,13,20,1,5,5,.2,5.5,1,.066,0,0,0,0,0,0,.2,.30000001,.1,.050000001,.18000001,.07,.079999998,.025,0,.050000001,0,0,0
4.5,11,37,1,5,5,.2,5.5,1,.1,.090000004,.15000001,0,0,0,0,0,.40000001,.050000001,.029999999,.18000001,.039999999,.039999999,.015,0,.015,.059999999,0,.12
2.25,11,51,0,5,5,.2,5.5,1,1.8,0,2,0,0,0,0,0,.80000001,.30000001,.40000001,0,.045000002,.30000001,.25,.16500001,.23999999,.40000001,0,0
4.5,11,47,1,4,5,.2,5.5,1,0,0,.87,0,0,0,0,0,.30000001,.1,.059999999,0,.1,.02,.125,.18000001,0,.02,0,0
28,2,66,1,4,5,.2,5.5,1,.69999999,0,0,0,.07,0,0,0,.40000001,.12,.1,.60000002,.055,.25,.41600001,0,.090000004,.02,0,.029999999
2.5,13,32,1,5,5,.2,5.5,1,.050000001,0,.15000001,0,0,0,0,0,.15000001,.039999999,0,0,.0099999998,.02,.025,0,0,.0099999998,0,.02
4.5,2,53,1,4,4,.2,5.5,1,0,.039999999,0,0,0,0,.141,0,.30000001,.039999999,0,0,.016000001,.029999999,.0080000004,0,.0099999998,.02,0,0
3.0833333,11,42,1,5,5,.2,5.5,1,1.7539999,0,0,0,0,0,0,0,.40000001,.050000001,.028000001,0,.046,0,0,0,0,.14,0,0
20,11,49,1,5,4,.2,5.5,1,.80000001,0,0,0,0,0,0,0,.30000001,.1,0,0,0,0,.050000001,0,0,.0099999998,.0099999998,.56
5,8,51,0,5,5,.2,5.5,1,2,0,1.3,0,0,0,0,0,.40000001,.15000001,.059999999,0,.40000001,.1,.116,0,.0099999998,.30000001,0,0
4.5,14,39,0,5,5,.2,5.5,0,2,0,1.2,0,0,0,0,0,.5,.1,.079999998,0,.1,.2,.079999998,.2,.25,.15000001,0,0
29.166666,5,38,1,5,4,.2,5.5,1,0,.15000001,0,0,0,0,0,0,.15000001,.02,0,0,.017999999,.02,.059999999,0,.0099999998,.039999999,.003,0
